"","Rk","Year","Lg","Rd","Pk","Tm","Player","Age","Pos","Born","College","From","To","G","MP","PTS","TRB","AST","STL","BLK","FG%","2P%","3P%","FT%","WS","WS/48"
"1","1","2016","NBA","1",1,"PHI","Ben Simmons","19.343","F","au","Louisiana State University","","","","","","","","","","","","","",0,""
"2","2","2015","NBA","1",1,"MIN","Karl-Anthony Towns","19.227","C-F","us","University of Kentucky","2016","2017","164","34.5","21.7","11.4","2.3","0.7","1.5",".542",".571",".361",".824",20.9,".178"
"3","3","2014","NBA","1",1,"CLE","Andrew Wiggins","19.128","F-G","ca","University of Kansas","2015","2017","245","36.2","20.4","4.1","2.1","1.0","0.5",".450",".471",".329",".760",10.4,".056"
"4","4","2013","NBA","1",1,"CLE","Anthony Bennett","20.110","F","ca","University of Nevada, Las Vegas","2014","2017","151","12.6","4.4","3.1","0.5","0.4","0.2",".392",".427",".261",".670",0.5,".013"
"5","5","2012","NBA","1",1,"NOH","Anthony Davis","19.114","F-C","us","University of Kentucky","2013","2017","335","34.4","22.4","10.2","1.8","1.3","2.4",".513",".524",".290",".787",48.8,".203"
"6","6","2011","NBA","1",1,"CLE","Kyrie Irving","19.096","G","au","Duke University","2012","2017","381","34.2","21.6","3.4","5.5","1.3","0.3",".457",".486",".383",".873",40.4,".149"
"7","7","2010","NBA","1",1,"WAS","John Wall","19.296","G","us","University of Kentucky","2011","2017","500","36.1","18.8","4.4","9.2","1.7","0.6",".433",".456",".321",".791",40.4,".108"
"8","8","2009","NBA","1",1,"LAC","Blake Griffin","20.106","F","us","University of Oklahoma","2011","2017","471","35.2","21.5","9.4","4.1","1.0","0.6",".518",".526",".299",".673",62.4,".181"
"9","9","2008","NBA","1",1,"CHI","Derrick Rose","19.270","G","us","University of Memphis","2009","2017","470","34.7","19.5","3.7","6.0","0.8","0.4",".451",".479",".298",".820",34.4,".101"
"10","10","2007","NBA","1",1,"POR","Greg Oden","19.162","C","us","Ohio State University","2009","2014","105","19.3","8.0","6.2","0.5","0.4","1.2",".574",".574","",".658",7.3,".174"
"11","11","2006","NBA","1",1,"TOR","Andrea Bargnani","20.250","F-C","it","","2007","2016","550","28.7","14.3","4.6","1.2","0.4","0.9",".439",".470",".354",".824",18.9,".057"
"12","12","2005","NBA","1",1,"MIL","Andrew Bogut","20.217","C","au","University of Utah","2006","2017","671","29.1","10.0","8.9","2.3","0.6","1.6",".534",".536",".120",".556",49.9,".123"
"13","13","2004","NBA","1",1,"ORL","Dwight Howard","18.203","C","us","","2005","2017","954","34.9","17.5","12.7","1.5","1.0","2.0",".585",".588",".089",".566",121.5,".175"
"14","14","2003","NBA","1",1,"CLE","LeBron James","18.182","F-G","us","","2004","2017","1061","38.9","27.1","7.3","7.0","1.6","0.8",".501",".543",".342",".740",205.4,".239"
"15","15","2002","NBA","1",1,"HOU","Yao Ming","21.292","C","cn","","2003","2011","486","32.5","19.0","9.2","1.6","0.4","1.9",".524",".525",".200",".833",65.9,".200"
"16","16","2001","NBA","1",1,"WAS","Kwame Brown","19.114","F","us","","2002","2013","607","22.1","6.6","5.5","0.9","0.5","0.6",".492",".493",".111",".570",20.8,".074"
"17","17","2000","NBA","1",1,"NJN","Kenyon Martin","22.186","F","us","University of Cincinnati","2001","2015","757","30.6","12.3","6.8","1.9","1.2","1.1",".483",".492",".234",".629",48,".100"
"18","18","1999","NBA","1",1,"CHI","Elton Brand","20.116","F","us","Duke University","2000","2016","1058","33.0","15.9","8.5","2.1","0.9","1.7",".500",".501",".095",".736",109.6,".151"
"19","19","1998","NBA","1",1,"LAC","Michael Olowokandi","23.088","C","ng","University of the Pacific","1999","2007","500","26.3","8.3","6.8","0.7","0.5","1.4",".435",".435","",".597",2.5,".009"
"20","20","1997","NBA","1",1,"SAS","Tim Duncan","21.066","F-C","vi","Wake Forest University","1998","2016","1392","34.0","19.0","10.8","3.0","0.7","2.2",".506",".509",".179",".696",206.4,".209"
"23","21","1996","NBA","1",1,"PHI","Allen Iverson","21.025","G","us","Georgetown University","1997","2010","914","41.1","26.7","3.7","6.2","2.2","0.2",".425",".448",".313",".780",99,".126"
"24","22","1995","NBA","1",1,"GSW","Joe Smith","19.342","F","us","University of Maryland","1996","2011","1030","26.2","10.9","6.4","1.0","0.6","0.8",".455",".458",".238",".790",60.3,".107"
"25","23","1994","NBA","1",1,"MIL","Glenn Robinson","21.175","F","us","Purdue University","1995","2005","688","36.8","20.7","6.1","2.7","1.2","0.6",".459",".480",".340",".820",39.8,".075"
"26","24","1993","NBA","1",1,"ORL","Chris Webber","20.126","F-C","us","University of Michigan","1994","2008","831","37.1","20.7","9.8","4.2","1.4","1.4",".479",".490",".299",".649",84.7,".132"
"27","25","1992","NBA","1",1,"ORL","Shaquille O'Neal","20.115","C","us","Louisiana State University","1993","2011","1207","34.7","23.7","10.9","2.5","0.6","2.3",".582",".583",".045",".527",181.7,".208"
"28","26","1991","NBA","1",1,"CHH","Larry Johnson","22.109","F","us","University of Nevada, Las Vegas","1992","2001","707","36.3","16.2","7.5","3.3","0.7","0.4",".484",".505",".332",".766",69.7,".130"
"29","27","1990","NBA","1",1,"NJN","Derrick Coleman","23.012","F","us","Syracuse University","1991","2005","781","33.2","16.5","9.3","2.5","0.8","1.3",".447",".465",".295",".769",64.3,".119"
"30","28","1989","NBA","1",1,"SAC","Pervis Ellison","22.091","F-C","us","University of Louisville","1990","2001","474","24.5","9.5","6.7","1.5","0.6","1.6",".510",".513",".050",".689",21.8,".090"
"31","29","1988","NBA","1",1,"LAC","Danny Manning","22.048","F-C","us","University of Kansas","1989","2003","883","27.4","14.0","5.2","2.3","1.1","0.9",".511",".517",".206",".729",55.1,".109"
"32","30","1987","NBA","1",1,"SAS","David Robinson","21.325","C","us","United States Naval Academy","1990","2003","987","34.7","21.1","10.6","2.5","1.4","3.0",".518",".520",".250",".736",178.7,".250"
"33","31","1986","NBA","1",1,"CLE","Brad Daugherty","20.246","C","us","Univ. of North Carolina","1987","1994","548","36.5","19.0","9.5","3.7","0.8","0.7",".532",".533",".143",".747",65.2,".156"
"34","32","1985","NBA","1",1,"NYK","Patrick Ewing","22.323","C-F","jm","Georgetown University","1986","2002","1183","34.3","21.0","9.8","1.9","1.0","2.4",".504",".507",".152",".740",126.4,".150"
"35","1","2016","NBA","1",2,"LAL","Brandon Ingram","18.299","F","us","Duke University","2017","2017","79","28.8","9.4","4.0","2.1","0.6","0.5",".402",".443",".294",".621",-0.3,"-0.007"
"36","2","2015","NBA","1",2,"LAL","D'Angelo Russell","19.127","G","us","Ohio State University","2016","2017","143","28.5","14.3","3.5","4.0","1.3","0.2",".408",".447",".351",".759",1.3,".015"
"37","3","2014","NBA","1",2,"MIL","Jabari Parker","19.108","F","us","Duke University","2015","2017","152","32.1","15.8","5.6","2.1","1.0","0.4",".491",".511",".341",".748",9,".089"
"38","4","2013","NBA","1",2,"ORL","Victor Oladipo","21.059","G","us","Indiana University","2014","2017","291","33.2","15.9","4.4","3.7","1.5","0.5",".434",".468",".346",".800",13.7,".068"
"39","5","2012","NBA","1",2,"CHA","Michael Kidd-Gilchrist","18.280","F","us","University of Kentucky","2013","2017","283","27.1","9.1","6.4","1.3","0.7","0.8",".470",".474",".206",".712",15.5,".097"
"40","6","2011","NBA","1",2,"MIN","Derrick Williams","20.034","F","us","University of Arizona","2012","2017","426","20.8","8.9","4.0","0.7","0.5","0.3",".434",".484",".300",".710",14.1,".076"
"41","7","2010","NBA","1",2,"PHI","Evan Turner","21.245","G","us","Ohio State University","2011","2017","534","28.2","10.5","5.0","3.7","0.8","0.2",".431",".453",".298",".782",15.9,".051"
"42","8","2009","NBA","1",2,"MEM","Hasheem Thabeet","22.135","C","tz","University of Connecticut","2010","2014","224","10.5","2.2","2.7","0.1","0.3","0.8",".567",".567","",".578",4.8,".099"
"43","9","2008","NBA","1",2,"MIA","Michael Beasley","19.173","F","us","Kansas State University","2009","2017","509","23.5","12.6","4.7","1.3","0.6","0.5",".458",".475",".347",".758",13,".052"
"44","10","2007","NBA","1",2,"SEA","Kevin Durant","18.276","F-G","us","University of Texas at Austin","2008","2017","703","37.4","27.2","7.2","3.8","1.2","1.0",".488",".524",".379",".882",119.8,".219"
"45","11","2006","NBA","1",2,"CHI","LaMarcus Aldridge","20.349","F-C","us","University of Texas at Austin","2007","2017","794","34.7","19.1","8.3","1.9","0.8","1.0",".486",".491",".287",".802",86.7,".151"
"46","12","2005","NBA","1",2,"ATL","Marvin Williams","19.014","F","us","Univ. of North Carolina","2006","2017","861","28.9","10.6","5.3","1.3","0.8","0.5",".443",".478",".353",".807",53.9,".104"
"47","13","2004","NBA","1",2,"CHA","Emeka Okafor","21.275","C-F","us","University of Connecticut","2005","2013","590","31.7","12.3","9.9","0.9","0.7","1.7",".512",".512",".000",".584",44.3,".114"
"48","14","2003","NBA","1",2,"DET","Darko Milicic","18.010","F-C","rs","","2004","2013","468","18.5","6.0","4.2","0.9","0.4","1.3",".460",".461",".000",".574",7.1,".040"
"49","15","2002","NBA","1",2,"CHI","Jay Williams","20.294","G","us","Duke University","2003","2003","75","26.1","9.5","2.6","4.7","1.1","0.2",".399",".431",".322",".640",0.8,".020"
"50","16","2001","NBA","1",2,"LAC","Tyson Chandler","18.273","C","us","","2002","2017","1033","28.4","8.7","9.4","0.8","0.6","1.2",".594",".595",".000",".647",96.7,".158"
"51","17","2000","NBA","1",2,"VAN","Stromile Swift","20.225","F","us","Louisiana State University","2001","2009","547","19.8","8.4","4.6","0.5","0.6","1.2",".473",".476",".074",".699",21.3,".095"
"52","18","1999","NBA","1",2,"VAN","Steve Francis","22.134","G","us","University of Maryland","2000","2008","576","37.6","18.1","5.6","6.0","1.5","0.4",".429",".451",".341",".797",54.1,".120"
"53","19","1998","NBA","1",2,"VAN","Mike Bibby","20.047","G","us","University of Arizona","1999","2012","1001","33.9","14.7","3.1","5.5","1.2","0.1",".436",".463",".379",".802",73.2,".104"
"54","20","1997","NBA","1",2,"PHI","Keith Van Horn","21.251","F","us","University of Utah","1998","2006","575","31.6","16.0","6.8","1.6","0.8","0.5",".443",".466",".361",".835",41.7,".110"
"57","21","1996","NBA","1",2,"TOR","Marcus Camby","22.102","C-F","us","University of Massachusetts Amherst","1997","2013","973","29.5","9.5","9.8","1.9","1.0","2.4",".466",".469",".205",".670",81.6,".137"
"58","22","1995","NBA","1",2,"LAC","Antonio McDyess","20.299","F-C","us","University of Alabama","1996","2011","1015","27.6","12.0","7.5","1.3","0.8","1.1",".497",".499",".117",".670",69.8,".119"
"59","23","1994","NBA","1",2,"DAL","Jason Kidd","21.103","G","us","University of California","1995","2013","1391","36.0","12.6","6.3","8.7","1.9","0.3",".400",".429",".349",".785",138.6,".133"
"60","24","1993","NBA","1",2,"PHI","Shawn Bradley","21.105","C","de","Brigham Young University","1994","2005","832","23.5","8.1","6.3","0.7","0.6","2.5",".457",".459",".103",".716",40.7,".100"
"61","25","1992","NBA","1",2,"CHH","Alonzo Mourning","22.142","C","us","Georgetown University","1993","2008","838","31.0","17.1","8.5","1.1","0.5","2.8",".527",".530",".247",".692",89.7,".166"
"62","26","1991","NBA","1",2,"NJN","Kenny Anderson","20.265","G","us","Georgia Institute of Technology","1992","2005","858","30.1","12.6","3.1","6.1","1.5","0.1",".421",".436",".346",".790",62.5,".116"
"63","27","1990","NBA","1",2,"SEA","Gary Payton","21.344","G","us","Oregon State University","1991","2007","1335","35.3","16.3","3.9","6.7","1.8","0.2",".466",".501",".317",".729",145.5,".148"
"64","28","1989","NBA","1",2,"LAC","Danny Ferry","22.259","F","us","Duke University","1991","2003","917","19.8","7.0","2.8","1.3","0.4","0.3",".446",".470",".393",".840",34.8,".092"
"65","29","1988","NBA","1",2,"IND","Rik Smits","21.315","C","nl","Marist College","1989","2000","867","26.6","14.8","6.1","1.4","0.4","1.3",".507",".508",".115",".773",56.6,".118"
"66","30","1987","NBA","1",2,"PHO","Armen Gilliam","23.030","F-C","us","University of Nevada, Las Vegas","1988","2000","929","28.4","13.7","6.9","1.2","0.7","0.7",".489",".490",".000",".776",58.1,".106"
"67","31","1986","NBA","1",2,"BOS","Len Bias","","","","University of Maryland","","","","","","","","","","","","","",0,""
"68","32","1985","NBA","1",2,"IND","Wayman Tisdale","21.014","F-C","us","University of Oklahoma","1986","1997","840","28.4","15.3","6.1","1.3","0.6","0.6",".505",".506",".000",".760",45.7,".092"
"69","1","2016","NBA","1",3,"BOS","Jaylen Brown","19.247","F","us","University of California","2017","2017","78","17.2","6.6","2.8","0.8","0.4","0.2",".454",".507",".341",".685",1.5,".053"
"70","2","2015","NBA","1",3,"PHI","Jahlil Okafor","19.197","C-F","us","Duke University","2016","2017","103","26.5","14.7","6.0","1.2","0.4","1.1",".510",".512",".167",".679",2.4,".043"
"71","3","2014","NBA","1",3,"PHI","Joel Embiid","20.107","C-F","cm","University of Kansas","2017","2017","31","25.4","20.2","7.8","2.1","0.9","2.5",".466",".495",".367",".783",1.9,".117"
"72","4","2013","NBA","1",3,"WAS","Otto Porter","20.029","F","us","Georgetown University","2014","2017","266","24.9","9.3","4.5","1.2","1.0","0.4",".481",".533",".389",".774",17.7,".128"
"73","5","2012","NBA","1",3,"WAS","Bradley Beal","19.005","G","us","University of Florida","2013","2017","324","33.3","17.7","3.6","3.1","1.0","0.3",".441",".464",".399",".796",21.9,".098"
"74","6","2011","NBA","1",3,"UTA","Enes Kanter","19.038","C","ch","","2012","2017","445","21.3","11.3","6.7","0.6","0.4","0.4",".530",".536",".299",".768",26.6,".135"
"75","7","2010","NBA","1",3,"NJN","Derrick Favors","18.349","F-C","us","Georgia Institute of Technology","2011","2017","479","25.8","11.4","7.2","1.1","0.8","1.3",".510",".512",".154",".664",33.5,".130"
"76","8","2009","NBA","1",3,"OKC","James Harden","19.308","G","us","Arizona State University","2010","2017","615","33.6","22.1","5.0","5.7","1.5","0.4",".442",".499",".364",".854",91.3,".212"
"77","9","2008","NBA","1",3,"MIN","O.J. Mayo","20.239","G","us","University of Southern California","2009","2016","547","30.9","13.8","3.1","2.9","1.0","0.3",".429",".459",".373",".820",21.8,".062"
"78","10","2007","NBA","1",3,"ATL","Al Horford","21.030","C-F","do","University of Florida","2008","2017","646","33.3","14.3","8.7","3.0","0.8","1.2",".528",".543",".346",".748",70.4,".157"
"79","11","2006","NBA","1",3,"CHA","Adam Morrison","21.349","F","us","Gonzaga University","2007","2010","161","20.4","7.5","2.1","1.4","0.2","0.1",".373",".391",".331",".710",-1.4,"-0.021"
"80","12","2005","NBA","1",3,"UTA","Deron Williams","21.007","G","us","University of Ill. at Urbana-Champaign","2006","2017","845","34.2","16.3","3.1","8.1","1.0","0.2",".445",".482",".357",".822",77.3,".129"
"81","13","2004","NBA","1",3,"CHI","Ben Gordon","21.087","G","gb","University of Connecticut","2005","2015","744","27.4","14.9","2.5","2.5","0.7","0.2",".432",".447",".401",".857",33.3,".078"
"82","14","2003","NBA","1",3,"DEN","Carmelo Anthony","19.032","F","us","Syracuse University","2004","2017","976","36.2","24.8","6.6","3.1","1.1","0.5",".452",".475",".346",".813",97,".132"
"83","15","2002","NBA","1",3,"GSW","Mike Dunleavy","21.289","F-G","us","Duke University","2003","2017","986","27.7","11.2","4.3","2.2","0.7","0.3",".441",".481",".377",".803",58.5,".103"
"84","16","2001","NBA","1",3,"ATL","Pau Gasol","20.361","F-C","es","","2002","2017","1119","34.7","17.9","9.4","3.2","0.5","1.7",".510",".513",".368",".754",137,".169"
"85","17","2000","NBA","1",3,"LAC","Darius Miles","18.267","F","us","","2001","2009","446","26.3","10.1","4.9","1.9","0.9","1.1",".472",".482",".168",".590",9.5,".039"
"86","18","1999","NBA","1",3,"CHH","Baron Davis","20.083","G","us","University of California, Los Angeles","2000","2012","835","34.2","16.1","3.8","7.2","1.8","0.4",".409",".456",".320",".711",63.1,".106"
"87","19","1998","NBA","1",3,"DEN","Raef LaFrentz","22.031","F-C","us","University of Kansas","1999","2008","563","25.8","10.1","6.1","1.1","0.5","1.6",".466",".505",".363",".711",39.4,".130"
"88","20","1997","NBA","1",3,"BOS","Chauncey Billups","20.278","G","us","University of Colorado","1998","2014","1043","31.6","15.2","2.9","5.4","1.0","0.2",".415",".435",".387",".894",120.8,".176"
"91","21","1996","NBA","1",3,"VAN","Shareef Abdur-Rahim","19.202","F","us","University of California","1997","2008","830","34.8","18.1","7.5","2.5","1.0","0.8",".472",".480",".297",".810",71.2,".118"
"92","22","1995","NBA","1",3,"PHI","Jerry Stackhouse","20.240","G-F","us","Univ. of North Carolina","1996","2013","970","31.2","16.9","3.2","3.3","0.9","0.5",".409",".441",".309",".822",52.4,".083"
"93","23","1994","NBA","1",3,"DET","Grant Hill","21.272","F-G","us","Duke University","1995","2013","1026","33.9","16.7","6.0","4.1","1.2","0.6",".483",".493",".314",".769",99.9,".138"
"94","24","1993","NBA","1",3,"GSW","Anfernee Hardaway","21.353","G-F","us","University of Memphis","1994","2008","704","33.7","15.2","4.5","5.0","1.6","0.4",".458",".489",".316",".774",61.9,".125"
"95","25","1992","NBA","1",3,"MIN","Christian Laettner","22.317","F-C","us","Duke University","1993","2005","868","29.7","12.8","6.7","2.6","1.1","0.8",".480",".490",".261",".820",64.9,".121"
"96","26","1991","NBA","1",3,"SAC","Billy Owens","22.061","F-G","us","Syracuse University","1992","2001","600","29.4","11.7","6.7","2.8","0.9","0.5",".481",".491",".291",".629",28.6,".078"
"97","27","1990","NBA","1",3,"DEN","Mahmoud Abdul-Rauf","21.115","G","us","Louisiana State University","1991","2001","586","26.7","14.6","1.9","3.5","0.8","0.1",".442",".460",".354",".905",25.2,".077"
"98","28","1989","NBA","1",3,"SAS","Sean Elliott","21.151","F","us","University of Arizona","1990","2001","742","33.0","14.2","4.3","2.6","0.8","0.4",".465",".486",".375",".799",55.7,".109"
"99","29","1988","NBA","1",3,"PHI","Charles Smith","22.353","F-C","us","University of Pittsburgh","1989","1997","564","29.0","14.4","5.8","1.4","0.8","1.4",".475",".479",".194",".774",40.9,".120"
"100","30","1987","NBA","1",3,"NJN","Dennis Hopson","22.066","G-F","us","Ohio State University","1988","1992","334","22.5","10.9","2.8","1.6","1.0","0.5",".431",".443",".271",".765",7.1,".046"
"101","31","1986","NBA","1",3,"GSW","Chris Washburn","21.040","C","us","North Carolina State University","1987","1988","72","9.0","3.1","2.4","0.3","0.2","0.2",".412",".413",".000",".439",-0.6,"-0.046"
"102","32","1985","NBA","1",3,"LAC","Benoit Benjamin","20.213","C","us","Creighton University","1986","2000","807","27.2","11.4","7.5","1.3","0.6","2.0",".497",".498",".048",".721",32.7,".072"
"103","1","2016","NBA","1",4,"PHO","Dragan Bender","18.223","F","ba","","2017","2017","43","13.3","3.4","2.4","0.5","0.2","0.5",".354",".483",".277",".364",-0.3,"-0.029"
"104","2","2015","NBA","1",4,"NYK","Kristaps Porzingis","19.332","F-C","lv","","2016","2017","138","30.5","16.1","7.3","1.4","0.7","1.9",".436",".474",".346",".811",8.9,".101"
"105","3","2014","NBA","1",4,"ORL","Aaron Gordon","18.288","F","us","University of Arizona","2015","2017","205","24.2","9.7","5.3","1.5","0.7","0.6",".460",".526",".289",".699",10.1,".097"
"106","4","2013","NBA","1",4,"CHA","Cody Zeller","20.270","F-C","us","Indiana University","2014","2017","279","22.9","8.0","5.6","1.3","0.7","0.8",".500",".502",".154",".734",18.4,".138"
"107","5","2012","NBA","1",4,"CLE","Dion Waiters","20.206","G","us","Syracuse University","2013","2017","335","28.6","13.2","2.7","2.7","1.0","0.3",".413",".440",".346",".698",7.4,".037"
"108","6","2011","NBA","1",4,"CLE","Tristan Thompson","20.107","F-C","ca","University of Texas at Austin","2012","2017","466","28.7","9.4","8.6","0.8","0.5","0.8",".515",".516",".000",".611",34.9,".125"
"109","7","2010","NBA","1",4,"MIN","Wesley Johnson","22.354","F-G","us","Syracuse University","2011","2017","497","23.0","7.5","3.3","1.1","0.8","0.7",".406",".461",".337",".743",9,".038"
"110","8","2009","NBA","1",4,"SAC","Tyreke Evans","19.284","G-F","us","University of Memphis","2010","2017","473","32.2","16.1","4.8","5.1","1.3","0.4",".444",".472",".295",".757",23.9,".075"
"111","9","2008","NBA","1",4,"SEA","Russell Westbrook","19.231","G","us","University of California, Los Angeles","2009","2017","668","34.1","22.7","6.2","7.9","1.7","0.3",".433",".461",".313",".823",80.1,".169"
"112","10","2007","NBA","1",4,"MEM","Mike Conley","19.265","G","us","Ohio State University","2008","2017","706","32.6","14.2","2.9","5.7","1.5","0.2",".443",".469",".379",".815",62.8,".131"
"113","11","2006","NBA","1",4,"POR","Tyrus Thomas","19.320","F","us","Louisiana State University","2007","2015","402","19.7","7.7","4.8","0.9","0.8","1.3",".438",".440",".235",".732",13,".078"
"114","12","2005","NBA","1",4,"NOH","Chris Paul","20.058","G","us","Wake Forest University","2006","2017","834","35.5","18.7","4.4","9.9","2.3","0.1",".473",".504",".370",".866",154.6,".250"
"115","13","2004","NBA","1",4,"LAC","Shaun Livingston","18.291","G","us","","2005","2017","698","21.6","6.6","2.5","3.2","0.7","0.4",".483",".488",".197",".793",26.1,".083"
"116","14","2003","NBA","1",4,"TOR","Chris Bosh","19.098","F-C","us","Georgia Institute of Technology","2004","2016","893","35.8","19.2","8.5","2.0","0.8","1.0",".494",".506",".335",".799",106,".159"
"117","15","2002","NBA","1",4,"MEM","Drew Gooden","20.280","F","us","University of Kansas","2003","2016","790","25.5","11.0","7.1","1.1","0.7","0.6",".462",".471",".257",".760",43.9,".105"
