Team,Seed,Region,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
Virginia,1,South,ACC,31-2,32.15,116.5,84.4,59.1,0.032,9.98,110.9,100.9,0.21
Villanova,1,East,BE,30-4,31.4,127.4,96,68.2,-0.018,10.23,111.3,101,4.11
Duke,2,Midwest,ACC,26-7,29.12,122.6,93.5,70,-0.029,10.89,110.9,100,4.6
Cincinnati,2,South,Amer,30-4,27,113.1,86.1,64.6,-0.004,3.19,107,103.8,-4.14
Purdue,2,East,B10,28-6,26.66,123.2,96.6,67.2,0.003,8.55,109.3,100.8,0.9
Michigan St.,3,Midwest,B10,29-4,26.34,120,93.6,67.1,0.048,6.49,109,102.5,-4.7
North Carolina,2,West,ACC,25-10,25.03,121.9,96.9,70.9,-0.019,14.05,112.4,98.4,7.99
Gonzaga,4,West,WCC,30-4,24.81,119.8,95,68.9,-0.006,1.03,106.6,105.6,3.24
Kansas,1,Midwest,B12,27-7,23.24,120.9,97.7,68.4,0.06,11.49,111.7,100.2,3.7
Michigan,3,West,B10,28-7,23.19,115.9,92.7,64.3,0.037,8.78,111.1,102.3,-4.53
Tennessee,3,South,SEC,25-8,22.15,114.8,92.7,66.1,0.04,11.62,112.1,100.5,7.57
Texas Tech,3,East,B12,24-9,21.95,114,92.1,66.5,-0.021,9.26,110.3,101.1,-5.1
West Virginia,5,East,B12,24-10,21.77,119.1,97.4,69,-0.009,10.48,109.9,99.5,-4.25
Xavier,1,West,BE,28-5,21.68,120.7,99,70.4,0.109,9.62,110.3,100.7,2.09
Ohio St.,5,West,B10,24-8,21.1,116.1,95,66.3,0.027,8.15,109.8,101.6,0.42
Auburn,4,Midwest,SEC,25-7,20.63,118.2,97.5,72.2,-0.012,7.53,109.1,101.5,-1.75
Houston,6,West,Amer,26-7,20.54,115.8,95.2,68.2,-0.009,3.4,106.7,103.3,-2.69
Kentucky,5,South,SEC,24-10,20.39,116.4,96,68.5,-0.001,11.16,111.1,99.9,4.99
Clemson,5,Midwest,ACC,23-9,20.26,113.8,93.5,65.6,0.004,9.76,110.9,101.1,-1.84
Wichita St.,4,East,Amer,25-7,20.07,121.9,101.8,68.6,-0.015,5.55,107.9,102.3,2.04
Arizona,4,South,P12,27-7,19.37,119,99.6,67.3,0.025,6.34,108.9,102.5,2.82
TCU,6,Midwest,B12,21-11,18.92,120.6,101.7,68.7,-0.058,9.82,111.4,101.6,-0.45
Florida,6,East,SEC,20-12,18.71,115.1,96.4,66.7,-0.049,10.74,110.7,99.9,4.49
Nevada,7,South,MWC,27-7,18.2,119.9,101.7,69.4,-0.028,4.47,107.3,102.8,4.22
Butler ,10,East,BE,20-13,17.86,115.7,97.9,67.8,-0.037,10.57,111.8,101.3,0.27
Seton Hall,8,Midwest,BE,21-11,17.33,116.3,99,69.3,-0.02,9.58,110.4,100.8,0.41
Creighton,8,South,BE,21-11,17.28,116.4,99.2,70.8,-0.018,9.23,111.1,101.9,-3.82
Texas A&M,7,West,SEC,20-12,16.91,111.2,94.3,69,-0.007,11.35,112.1,100.7,5.31
Virginia Tech,8,East,ACC,21-11,16.63,115,98.4,68.6,-0.003,8.18,109.9,101.7,-9.58
Florida St.,9,West,ACC,20-11,15.82,115.8,100,71.6,-0.032,7.99,109.2,101.2,-6.72
Miami FL,6,South,ACC,22-9,15.7,113.3,97.6,67,0.034,8.16,109.6,101.4,-3.58
Arkansas,7,East,SEC,23-11,15.63,117.3,101.7,69.6,0.062,10.15,111,100.8,1.29
Missouri,8,West,SEC,20-12,15.47,113.3,97.8,65.6,-0.021,9.61,110.1,100.4,1.31
Texas ,10,South,B12,19-14,15.46,109.4,93.9,65.2,-0.018,11.77,111.7,99.9,2.19
North Carolina St.,9,Midwest,ACC,21-11,15.12,116.4,101.3,71.3,0.007,7.63,108.9,101.3,-9.44
Loyola Chicago ,11,South,MVC,28-5,15.09,111.3,96.2,65.3,0.058,0.03,103.7,103.7,-5.63
Davidson ,12,South,A10,21-11,14.9,117.4,102.5,64.1,-0.051,1.88,105.9,104,1.74
Kansas St.,9,South,B12,22-11,14.75,112.2,97.4,65.5,0.056,9.2,111.4,102.2,-6.03
Arizona St. ,11,Midwest,P12,20-11,14.73,117.6,102.9,71.5,-0.072,5.82,108.1,102.2,1.55
Oklahoma ,10,Midwest,B12,18-13,14.42,115.1,100.7,75.8,0.005,11.97,111.8,99.9,2.25
UCLA ,11,East,P12,21-11,14.39,116.4,102,70.5,-0.019,6.92,108.7,101.8,3.56
Rhode Island,7,Midwest,A10,25-7,14.38,111.7,97.3,68.6,0.037,2.69,107.4,104.7,4.06
San Diego St. ,11,West,MWC,22-10,14.17,111.3,97.1,68.6,-0.015,3.39,107.6,104.2,-0.11
Alabama,9,East,SEC,19-15,13.83,108.4,94.6,68.7,0,11.04,111,100,3.03
Syracuse ,11,Midwest,ACC,20-13,13.59,107.7,94.1,63.3,0.007,8.72,110.9,102.2,-0.22
New Mexico St. ,12,Midwest,WAC,28-5,13.59,108.4,94.8,68.2,0.032,-1.47,104.3,105.7,4.24
Murray St. ,12,East,OVC,26-5,12.69,113.1,100.4,67.2,-0.013,-4.19,102.8,107,-0.78
Providence ,10,West,BE,21-13,11.91,108.9,97,67,0.088,10.42,112,101.6,-1.04
St. Bonaventure ,11,East,A10,25-7,11.19,112.3,101.1,69.2,0.077,2.19,107,104.8,1.42
Montana ,14,West,BSky,26-7,10.84,110.1,99.3,67.9,-0.005,-2.16,104.3,106.4,2.52
Buffalo ,13,South,MAC,26-8,10.57,114.3,103.7,72.8,-0.005,-0.94,104.8,105.8,4.07
South Dakota St. ,12,West,Sum,28-6,10.48,114.5,104,70.2,0.111,-0.21,106.1,106.3,3.9
UNC Greensboro ,13,West,SC,27-7,9.06,105.7,96.6,64.9,-0.011,-4.98,103.6,108.6,-3.2
Georgia St. ,15,South,SB,24-10,7.22,109,101.8,66.8,-0.022,-2.77,103.7,106.5,-2.86
Bucknell ,14,Midwest,Pat,25-9,6.79,109.2,102.4,71.4,0.02,-4.86,102.8,107.7,6.14
Stephen F. Austin ,14,East,Slnd,28-6,5.62,105,99.4,71.1,0.037,-7.51,100.8,108.3,-2.07
Marshall ,13,East,CUSA,24-10,5.39,109.3,103.9,74.8,0.04,-1.66,104.8,106.4,-6.81
College of Charleston ,13,Midwest,CAA,26-7,4.73,109.9,105.1,64.6,0.049,-4.61,104.8,109.4,-7.43
Penn ,16,Midwest,Ivy,24-8,3.69,103.5,99.8,68.8,0.078,-4.63,103.7,108.3,-2.76
Iona ,15,Midwest,MAAC,20-13,2.86,110.2,107.4,70.6,-0.022,-2.4,103.3,105.7,2.26
Wright St. ,14,South,Horz,25-9,2.81,101,98.2,68.2,0.056,-4.79,102.6,107.3,2.31
Cal St. Fullerton ,15,East,BW,20-11,1.34,105,103.6,69.5,0.089,-1.25,103.9,105.1,3.51
Lipscomb ,15,West,ASun,23-9,0.38,103.8,103.4,74.8,0.114,-4.92,103.1,108,6.12
Radford ,16,East,BSth,22-12,-0.02,103.6,103.6,62.7,0.044,-4.39,102.6,107,4.02
UMBC ,16,South,AE,24-10,-1.99,103.3,105.3,68.1,0.145,-5.71,102.5,108.2,-3.4
Texas Southern ,16,West,SWAC,15-19,-7.64,105.3,112.9,71.5,-0.009,-6.72,101,107.7,17.5
LIU Brooklyn ,16,East,NEC,18-16,-7.85,103.3,111.1,71.3,0.015,-8.44,100.6,109.1,-5.85
North Carolina Central ,16,West,MEAC,19-15,-12.76,98.1,110.9,64.9,0.017,-12.77,98.6,111.4,-1.58
