Player,Pos,Min,Team,Conf,Seed
Paul,PG,1847,HOU,West,1
Harden,SG,2551,HOU,West,1
Ariza,SF,2269,HOU,West,1
Tucker,PF,2281,HOU,West,1
Capela,C,2034,HOU,West,1
Iguodala,PG,1622,GSW,West,2
Thompson,SG,2506,GSW,West,2
Durant,SF,2325,GSW,West,2
Green,PF,2287,GSW,West,2
McGee,C,615,GSW,West,2
Lillard,PG,2670,POR,West,3
McCollum,SG,2923,POR,West,3
Turner,SF,2034,POR,West,3
Aminu,PF,2072,POR,West,3
Nurkic,C,2088,POR,West,3
Westbrook,PG,2914,OKC,West,4
Brewer,SG,1208,OKC,West,4
George,SF,2891,OKC,West,4
Anthony,PF,2501,OKC,West,4
Adams,C,2487,OKC,West,4
Rubio,PG,2254,UTA,West,5
Mitchell,SG,2638,UTA,West,5
Ingles,SF,2578,UTA,West,5
Favors,PF,2153,UTA,West,5
Gobert,C,1816,UTA,West,5
Rondo,PG,1705,NOP,West,6
Holiday,SG,2927,NOP,West,6
Moore,SF,2586,NOP,West,6
Mirotic,PF,1494,NOP,West,6
Davis,C,2727,NOP,West,6
Murray,PG,1743,SAS,West,7
Mills,SG,2107,SAS,West,7
Green,SF,1791,SAS,West,7
Anderson,PF,1978,SAS,West,7
Aldridge,C,2509,SAS,West,7
Teague,PG,2311,MIN,West,8
Butler,SG,2164,MIN,West,8
Wiggins,SF,2979,MIN,West,8
Gibson,PF,2726,MIN,West,8
Towns,C,2918,MIN,West,8
Lowry,PG,2510,TOR,East,1
DeRozan,SG,2711,TOR,East,1
Anunoby,SF,1481,TOR,East,1
Ibaka,PF,2093,TOR,East,1
Valanciunas,C,1727,TOR,East,1
Rozier,PG,2068,BOS,East,2
Brown,SG,2152,BOS,East,2
Tatum,SF,2438,BOS,East,2
Horford,PF,2277,BOS,East,2
Baynes,C,1485,BOS,East,2
Simmons,PG,2732,PHI,East,3
Redick,SG,2116,PHI,East,3
Covington,SF,2532,PHI,East,3
Saric,PF,2310,PHI,East,3
Johnson,C,1171,PHI,East,3
Hill,PG,1812,CLE,East,4
Hood,SG,1616,CLE,East,4
James,SF,3026,CLE,East,4
Green,PF,1828,CLE,East,4
Love,C,1651,CLE,East,4
Collison,PG,2018,IND,East,5
Oladipo,SG,2552,IND,East,5
Bogdanovic,SF,2464,IND,East,5
Young,PF,2607,IND,East,5
Turner,C,1836,IND,East,5
Dragic,PG,2378,MIA,East,6
Johnson,SG,2052,MIA,East,6
Richardson,SF,2689,MIA,East,6
Johnson,PF,1943,MIA,East,6
Whiteside,C,1364,MIA,East,6
Bledsoe,PG,2239,MIL,East,7
Snell,SG,2053,MIL,East,7
Middleton,SF,2982,MIL,East,7
Antetokounmpo,PF,2756,MIL,East,7
Henson,C,1970,MIL,East,7
Wall,PG,1410,WAS,East,8
Beal,SG,2977,WAS,East,8
Porter,SF,2432,WAS,East,8
Morris,PF,1968,WAS,East,8
Gortat,C,2075,WAS,East,8
